file,year,url,patents_covered
ipa010830.zip,2001,https://data.uspto.gov/ui/datasets/products/files/APPXML/2001/ipa010830.zip,1
ipa010913.zip,2001,https://data.uspto.gov/ui/datasets/products/files/APPXML/2001/ipa010913.zip,1
ipa020822.zip,2002,https://data.uspto.gov/ui/datasets/products/files/APPXML/2002/ipa020822.zip,1
ipa020829.zip,2002,https://data.uspto.gov/ui/datasets/products/files/APPXML/2002/ipa020829.zip,1
ipa020912.zip,2002,https://data.uspto.gov/ui/datasets/products/files/APPXML/2002/ipa020912.zip,1
ipa020919.zip,2002,https://data.uspto.gov/ui/datasets/products/files/APPXML/2002/ipa020919.zip,1
ipa021003.zip,2002,https://data.uspto.gov/ui/datasets/products/files/APPXML/2002/ipa021003.zip,1
ipa021031.zip,2002,https://data.uspto.gov/ui/datasets/products/files/APPXML/2002/ipa021031.zip,1
ipa021107.zip,2002,https://data.uspto.gov/ui/datasets/products/files/APPXML/2002/ipa021107.zip,1
ipa021212.zip,2002,https://data.uspto.gov/ui/datasets/products/files/APPXML/2002/ipa021212.zip,1
ipa030417.zip,2003,https://data.uspto.gov/ui/datasets/products/files/APPXML/2003/ipa030417.zip,1
ipa030515.zip,2003,https://data.uspto.gov/ui/datasets/products/files/APPXML/2003/ipa030515.zip,1
ipa030529.zip,2003,https://data.uspto.gov/ui/datasets/products/files/APPXML/2003/ipa030529.zip,1
ipa030904.zip,2003,https://data.uspto.gov/ui/datasets/products/files/APPXML/2003/ipa030904.zip,1
ipa031127.zip,2003,https://data.uspto.gov/ui/datasets/products/files/APPXML/2003/ipa031127.zip,1
ipa040422.zip,2004,https://data.uspto.gov/ui/datasets/products/files/APPXML/2004/ipa040422.zip,1
ipa040513.zip,2004,https://data.uspto.gov/ui/datasets/products/files/APPXML/2004/ipa040513.zip,1
ipa040617.zip,2004,https://data.uspto.gov/ui/datasets/products/files/APPXML/2004/ipa040617.zip,1
ipa040708.zip,2004,https://data.uspto.gov/ui/datasets/products/files/APPXML/2004/ipa040708.zip,1
ipa041125.zip,2004,https://data.uspto.gov/ui/datasets/products/files/APPXML/2004/ipa041125.zip,2
ipa050203.zip,2005,https://data.uspto.gov/ui/datasets/products/files/APPXML/2005/ipa050203.zip,2
ipa050224.zip,2005,https://data.uspto.gov/ui/datasets/products/files/APPXML/2005/ipa050224.zip,1
ipa050526.zip,2005,https://data.uspto.gov/ui/datasets/products/files/APPXML/2005/ipa050526.zip,1
ipa050922.zip,2005,https://data.uspto.gov/ui/datasets/products/files/APPXML/2005/ipa050922.zip,1
ipa051103.zip,2005,https://data.uspto.gov/ui/datasets/products/files/APPXML/2005/ipa051103.zip,1
ipa051124.zip,2005,https://data.uspto.gov/ui/datasets/products/files/APPXML/2005/ipa051124.zip,1
ipa060309.zip,2006,https://data.uspto.gov/ui/datasets/products/files/APPXML/2006/ipa060309.zip,3
ipa060608.zip,2006,https://data.uspto.gov/ui/datasets/products/files/APPXML/2006/ipa060608.zip,1
ipa060629.zip,2006,https://data.uspto.gov/ui/datasets/products/files/APPXML/2006/ipa060629.zip,1
ipa060803.zip,2006,https://data.uspto.gov/ui/datasets/products/files/APPXML/2006/ipa060803.zip,1
ipa060921.zip,2006,https://data.uspto.gov/ui/datasets/products/files/APPXML/2006/ipa060921.zip,1
ipa060928.zip,2006,https://data.uspto.gov/ui/datasets/products/files/APPXML/2006/ipa060928.zip,1
ipa061019.zip,2006,https://data.uspto.gov/ui/datasets/products/files/APPXML/2006/ipa061019.zip,1
ipa061026.zip,2006,https://data.uspto.gov/ui/datasets/products/files/APPXML/2006/ipa061026.zip,1
ipa061207.zip,2006,https://data.uspto.gov/ui/datasets/products/files/APPXML/2006/ipa061207.zip,1
ipa061221.zip,2006,https://data.uspto.gov/ui/datasets/products/files/APPXML/2006/ipa061221.zip,1
ipa070215.zip,2007,https://data.uspto.gov/ui/datasets/products/files/APPXML/2007/ipa070215.zip,1
ipa070301.zip,2007,https://data.uspto.gov/ui/datasets/products/files/APPXML/2007/ipa070301.zip,1
ipa070426.zip,2007,https://data.uspto.gov/ui/datasets/products/files/APPXML/2007/ipa070426.zip,1
ipa070726.zip,2007,https://data.uspto.gov/ui/datasets/products/files/APPXML/2007/ipa070726.zip,1
ipa070920.zip,2007,https://data.uspto.gov/ui/datasets/products/files/APPXML/2007/ipa070920.zip,1
ipa071018.zip,2007,https://data.uspto.gov/ui/datasets/products/files/APPXML/2007/ipa071018.zip,1
ipa071129.zip,2007,https://data.uspto.gov/ui/datasets/products/files/APPXML/2007/ipa071129.zip,1
ipa071213.zip,2007,https://data.uspto.gov/ui/datasets/products/files/APPXML/2007/ipa071213.zip,1
ipa080117.zip,2008,https://data.uspto.gov/ui/datasets/products/files/APPXML/2008/ipa080117.zip,1
ipa080131.zip,2008,https://data.uspto.gov/ui/datasets/products/files/APPXML/2008/ipa080131.zip,1
ipa080306.zip,2008,https://data.uspto.gov/ui/datasets/products/files/APPXML/2008/ipa080306.zip,1
ipa080515.zip,2008,https://data.uspto.gov/ui/datasets/products/files/APPXML/2008/ipa080515.zip,1
ipa080605.zip,2008,https://data.uspto.gov/ui/datasets/products/files/APPXML/2008/ipa080605.zip,1
ipa080814.zip,2008,https://data.uspto.gov/ui/datasets/products/files/APPXML/2008/ipa080814.zip,1
ipa080828.zip,2008,https://data.uspto.gov/ui/datasets/products/files/APPXML/2008/ipa080828.zip,2
ipa080911.zip,2008,https://data.uspto.gov/ui/datasets/products/files/APPXML/2008/ipa080911.zip,1
ipa081009.zip,2008,https://data.uspto.gov/ui/datasets/products/files/APPXML/2008/ipa081009.zip,1
ipa081113.zip,2008,https://data.uspto.gov/ui/datasets/products/files/APPXML/2008/ipa081113.zip,1
ipa090319.zip,2009,https://data.uspto.gov/ui/datasets/products/files/APPXML/2009/ipa090319.zip,1
ipa090507.zip,2009,https://data.uspto.gov/ui/datasets/products/files/APPXML/2009/ipa090507.zip,1
ipa090827.zip,2009,https://data.uspto.gov/ui/datasets/products/files/APPXML/2009/ipa090827.zip,1
ipa091022.zip,2009,https://data.uspto.gov/ui/datasets/products/files/APPXML/2009/ipa091022.zip,1
ipa091231.zip,2009,https://data.uspto.gov/ui/datasets/products/files/APPXML/2009/ipa091231.zip,2
ipa100128.zip,2010,https://data.uspto.gov/ui/datasets/products/files/APPXML/2010/ipa100128.zip,1
ipa100225.zip,2010,https://data.uspto.gov/ui/datasets/products/files/APPXML/2010/ipa100225.zip,1
ipa100304.zip,2010,https://data.uspto.gov/ui/datasets/products/files/APPXML/2010/ipa100304.zip,1
ipa100318.zip,2010,https://data.uspto.gov/ui/datasets/products/files/APPXML/2010/ipa100318.zip,1
ipa100401.zip,2010,https://data.uspto.gov/ui/datasets/products/files/APPXML/2010/ipa100401.zip,2
ipa100415.zip,2010,https://data.uspto.gov/ui/datasets/products/files/APPXML/2010/ipa100415.zip,1
ipa100902.zip,2010,https://data.uspto.gov/ui/datasets/products/files/APPXML/2010/ipa100902.zip,1
ipa101104.zip,2010,https://data.uspto.gov/ui/datasets/products/files/APPXML/2010/ipa101104.zip,2
ipa110303.zip,2011,https://data.uspto.gov/ui/datasets/products/files/APPXML/2011/ipa110303.zip,1
ipa110317.zip,2011,https://data.uspto.gov/ui/datasets/products/files/APPXML/2011/ipa110317.zip,2
ipa110505.zip,2011,https://data.uspto.gov/ui/datasets/products/files/APPXML/2011/ipa110505.zip,1
ipa110616.zip,2011,https://data.uspto.gov/ui/datasets/products/files/APPXML/2011/ipa110616.zip,1
ipa110721.zip,2011,https://data.uspto.gov/ui/datasets/products/files/APPXML/2011/ipa110721.zip,3
ipa110804.zip,2011,https://data.uspto.gov/ui/datasets/products/files/APPXML/2011/ipa110804.zip,1
ipa110811.zip,2011,https://data.uspto.gov/ui/datasets/products/files/APPXML/2011/ipa110811.zip,1
ipa110929.zip,2011,https://data.uspto.gov/ui/datasets/products/files/APPXML/2011/ipa110929.zip,1
ipa111201.zip,2011,https://data.uspto.gov/ui/datasets/products/files/APPXML/2011/ipa111201.zip,1
ipa111229.zip,2011,https://data.uspto.gov/ui/datasets/products/files/APPXML/2011/ipa111229.zip,1
ipa120105.zip,2012,https://data.uspto.gov/ui/datasets/products/files/APPXML/2012/ipa120105.zip,1
ipa120126.zip,2012,https://data.uspto.gov/ui/datasets/products/files/APPXML/2012/ipa120126.zip,1
ipa120209.zip,2012,https://data.uspto.gov/ui/datasets/products/files/APPXML/2012/ipa120209.zip,2
ipa120216.zip,2012,https://data.uspto.gov/ui/datasets/products/files/APPXML/2012/ipa120216.zip,1
ipa120412.zip,2012,https://data.uspto.gov/ui/datasets/products/files/APPXML/2012/ipa120412.zip,2
ipa120524.zip,2012,https://data.uspto.gov/ui/datasets/products/files/APPXML/2012/ipa120524.zip,1
ipa120823.zip,2012,https://data.uspto.gov/ui/datasets/products/files/APPXML/2012/ipa120823.zip,2
ipa121115.zip,2012,https://data.uspto.gov/ui/datasets/products/files/APPXML/2012/ipa121115.zip,1
ipa121122.zip,2012,https://data.uspto.gov/ui/datasets/products/files/APPXML/2012/ipa121122.zip,1
ipa130314.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa130314.zip,1
ipa130321.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa130321.zip,1
ipa130418.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa130418.zip,1
ipa130502.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa130502.zip,1
ipa130620.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa130620.zip,3
ipa131024.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa131024.zip,1
ipa131114.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa131114.zip,1
ipa140102.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140102.zip,1
ipa140213.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140213.zip,1
ipa140417.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140417.zip,2
ipa140424.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140424.zip,1
ipa140515.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140515.zip,1
ipa140522.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140522.zip,1
ipa140529.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140529.zip,1
ipa140612.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140612.zip,1
ipa140710.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140710.zip,1
ipa140821.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140821.zip,2
ipa140828.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140828.zip,1
ipa141023.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa141023.zip,2
ipa141030.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa141030.zip,1
ipa141113.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa141113.zip,1
ipa141204.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa141204.zip,1
ipa150212.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150212.zip,1
ipa150305.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150305.zip,3
ipa150521.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150521.zip,1
ipa150625.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150625.zip,1
ipa150702.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150702.zip,1
ipa150716.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150716.zip,1
ipa150723.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150723.zip,1
ipa150730.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150730.zip,1
ipa150806.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150806.zip,2
ipa150827.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150827.zip,1
ipa151119.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa151119.zip,1
ipa151210.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa151210.zip,1
ipa151224.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa151224.zip,2
ipa151231.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa151231.zip,1
ipa160114.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160114.zip,1
ipa160225.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160225.zip,1
ipa160303.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160303.zip,1
ipa160407.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160407.zip,1
ipa160421.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160421.zip,1
ipa160526.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160526.zip,1
ipa160630.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160630.zip,1
ipa160721.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160721.zip,1
ipa160818.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160818.zip,1
ipa160901.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160901.zip,1
ipa160915.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160915.zip,2
ipa161110.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa161110.zip,3
ipa161117.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa161117.zip,1
ipa161208.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa161208.zip,1
ipa161215.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa161215.zip,2
ipa161222.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa161222.zip,1
ipa170112.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170112.zip,1
ipa170119.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170119.zip,1
ipa170126.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170126.zip,1
ipa170209.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170209.zip,2
ipa170309.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170309.zip,1
ipa170316.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170316.zip,1
ipa170323.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170323.zip,1
ipa170330.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170330.zip,4
ipa170427.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170427.zip,1
ipa170504.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170504.zip,1
ipa170511.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170511.zip,1
ipa170525.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170525.zip,1
ipa170615.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170615.zip,1
ipa170622.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170622.zip,3
ipa170629.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170629.zip,1
ipa170720.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170720.zip,2
ipa170803.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170803.zip,1
ipa170810.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170810.zip,1
ipa170914.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170914.zip,1
ipa170928.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170928.zip,1
ipa171019.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa171019.zip,1
ipa171026.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa171026.zip,1
ipa171109.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa171109.zip,1
ipa171130.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa171130.zip,1
ipa171228.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa171228.zip,1
ipa180104.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180104.zip,1
ipa180111.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180111.zip,2
ipa180125.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180125.zip,1
ipa180201.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180201.zip,1
ipa180215.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180215.zip,1
ipa180308.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180308.zip,1
ipa180322.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180322.zip,2
ipa180405.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180405.zip,1
ipa180510.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180510.zip,3
ipa180517.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180517.zip,2
ipa180524.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180524.zip,1
ipa180607.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180607.zip,2
ipa180712.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180712.zip,1
ipa180823.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180823.zip,1
ipa180830.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180830.zip,1
ipa180913.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180913.zip,2
ipa180920.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180920.zip,2
ipa181004.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181004.zip,1
ipa181108.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181108.zip,1
ipa181115.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181115.zip,1
ipa181129.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181129.zip,2
ipa181206.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181206.zip,1
ipa181213.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181213.zip,2
ipa181227.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181227.zip,2
ipa190124.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190124.zip,2
ipa190131.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190131.zip,1
ipa190207.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190207.zip,2
ipa190214.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190214.zip,2
ipa190228.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190228.zip,1
ipa190321.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190321.zip,1
ipa190328.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190328.zip,3
ipa190411.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190411.zip,1
ipa190418.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190418.zip,1
ipa190425.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190425.zip,1
ipa190502.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190502.zip,3
ipa190516.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190516.zip,1
ipa190523.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190523.zip,1
ipa190530.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190530.zip,3
ipa190606.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190606.zip,2
ipa190627.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190627.zip,1
ipa190704.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190704.zip,3
ipa190718.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190718.zip,1
ipa190725.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190725.zip,1
ipa190808.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190808.zip,1
ipa190822.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190822.zip,1
ipa190829.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190829.zip,1
ipa190905.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190905.zip,1
ipa190919.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190919.zip,1
ipa190926.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190926.zip,2
ipa191010.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa191010.zip,3
ipa191017.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa191017.zip,2
